1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
305114,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
306094,3;Player;Health;DecreaseTo;80
306442,2;Enemy;Speed;ChangeTo;4,17
308442,8;Enemy;Speed;ChangeTo;4,2
309602,5;Enemy;DeathBy;Gun
310116,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
310447,3;Enemy;Speed;ChangeTo;4,23
311325,4;Enemy;DeathBy;Gun
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
311840,6;Enemy;DeathBy;LevelEnd
312105,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
312105,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
312122,4;Enemy;DeathBy;LevelEnd
312122,4;Enemy;DeathBy;LevelEnd
312453,3;Enemy;Speed;ChangeTo;4,260001
314457,9;Enemy;Speed;ChangeTo;4,290001
314855,5;Scene;Load;5
320093,7;ButtonClick;Next
320640,7;ButtonClick;Next
322263,9;ButtonClick;Next
323357,3;ButtonClick;Next
324450,8;ButtonClick;Next
325825,9;ButtonClick;Play
329139,1;Player;Starting;Range;100
329139,1;Player;Starting;TimeBetweenBullets;0,2
329139,1;Player;Starting;DamagerPerShot;15
329139,1;Player;Starting;SuperPower;100
329139,1;Player;Starting;Health;140
329139,1;Scene;Load;6
339131,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
344135,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
347597,5;Enemy;DeathBy;Gun
349123,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
351029,1;Enemy;DeathBy;Gun
352122,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
353182,5;Enemy;DeathBy;Gun
355120,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
358136;Enemy;0;RegularSpawn;AtSpawnPoint;2
360278,4;Enemy;DeathBy;Gun
363077,9;Enemy;DeathBy;Gun
365132,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
365877,7;Enemy;DeathBy;Gun
366126,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
367120,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
376124,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
377124,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
378135,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
382674,1;Enemy;DeathBy;Gun
384148,8;Alert;NonAffectiveSpawn;Activation
385043,2;Enemy;DeathBy;Gun
385126;Enemy;0;RegularSpawn;AtSpawnPoint;2
386970,8;Enemy;DeathBy;Gun
388130,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
391128,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
394127,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
395121,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
399136,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
399782,3;Enemy;DeathBy;Gun
401125,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
403131,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
404126,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
405368,6;Enemy;DeathBy;Gun
405835,3;Player;Health;DecreaseTo;120
405885;Player;Health;DecreaseTo;100
405885;Slider;Health;DecreaseTo;112
407127,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
407509,1;Enemy;DeathBy;Gun
407940,6;Enemy;DeathBy;Gun
410133;Enemy;0;RegularSpawn;AtSpawnPoint;2
410299;Enemy;DeathBy;Gun
412122,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
413132,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
413530,5;Enemy;DeathBy;Gun
415866,4;Player;Health;DecreaseTo;80
415866,4;Slider;Health;DecreaseTo;84
416545,6;Enemy;DeathBy;Gun
417125,4;Enemy;0;RegularSpawn;AtSpawnPoint;1
419120,7;Enemy;DeathBy;Gun
419120,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;5
419137,3;Alert;Enemy;SpeedChange
419137,3;Enemy;Speed;ChangeTo;3,03
419767,1;Enemy;DeathBy;Gun
421125,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
