1,530633E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
475108,4;Player;SuperPower;Alpha;0,5426331
476234,9;Enemy;Speed;ChangeTo;3,27
478140;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
478239,5;Enemy;Speed;ChangeTo;3,3
480144,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
480244,4;Enemy;Speed;ChangeTo;3,33
482256,8;Enemy;Speed;ChangeTo;3,36
484149,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
484149,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
484149,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
484265;Enemy;Speed;ChangeTo;3,39
484878;Player;Health;IncreaseTo;90
484878;Slider;Health;IncreaseTo;112
485110,3;Slider;SuperPower;IncreaseTo;50,73669
485110,3;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
485110,3;Player;DamagePerShot;IncreaseTo;15
485110,3;Player;Range;IncreaseTo;100
485192,8;Alert;NonAffectiveSpawn;Activation
486269,6;Enemy;Speed;ChangeTo;3,42
488274,1;Enemy;Speed;ChangeTo;3,45
489152,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
489334,4;Enemy;DeathBy;Gun
490146,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
490278,7;Enemy;Speed;ChangeTo;3,48
492284,4;Enemy;Speed;ChangeTo;3,51
493412,8;Enemy;DeathBy;Gun
494290,7;Enemy;Speed;ChangeTo;3,539999
495126,7;Slider;SuperPower;IncreaseTo;55,73669
495126,7;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
495126,7;Player;DamagePerShot;IncreaseTo;15
495126,7;Player;Range;IncreaseTo;100
495142,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
496152,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
496152,9;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
496202,7;Enemy;DeathBy;Gun
496302,1;Enemy;Speed;ChangeTo;3,569999
497146,8;Enemy;0;RegularSpawn;AtSpawnPoint;0
497494,8;Enemy;DeathBy;Gun
498141,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
498306,8;Enemy;Speed;ChangeTo;3,599999
500311,2;Enemy;Speed;ChangeTo;3,629999
501371,9;Enemy;DeathBy;Gun
501887,7;Player;Health;IncreaseTo;100
502152,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
502152,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
502319,3;Enemy;Speed;ChangeTo;3,659999
504324,8;Enemy;Speed;ChangeTo;3,689999
505136,5;Slider;SuperPower;IncreaseTo;60,73669
505136,5;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
505136,5;Player;DamagePerShot;IncreaseTo;15
505136,5;Player;Range;IncreaseTo;100
506148,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
506328,4;Enemy;Speed;ChangeTo;3,719999
507106,3;Player;Health;DecreaseTo;80
507106,3;Slider;Health;DecreaseTo;84
507156,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
508145,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
508145,5;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
508335,2;Enemy;Speed;ChangeTo;3,749999
508940,1;Player;Health;DecreaseTo;60
509779,4;Player;SuperPower;Time;4,957703
509779,4;Slider;SuperPower;DecreaseTo;0,5138016
509779,4;Player;TimeBetweenTwoBullets;IncreaseTo;0,3
509779,4;Player;DamagePerShot;DecreaseTo;14
509779,4;Player;Range;DecreaseTo;90
509779,4;Player;SuperPower;Kill;14
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Enemy;DeathBy;SuperPower
509779,4;Player;SuperPower;Alpha;0,9915406
510144,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
510293,3;TextScore;ChangeTo;PRZYZWOICIE
510343,1;Enemy;Speed;ChangeTo;3,779999
