1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
25620;Joystick;Left;Horizontal;0;Vertical;0
25620;Joystick;Right;Horizontal;0;Vertical;0
25640;Joystick;Left;Horizontal;0;Vertical;0
25640;Joystick;Right;Horizontal;0;Vertical;0
25660;Joystick;Left;Horizontal;0;Vertical;0
25660;Joystick;Right;Horizontal;0;Vertical;0
25680;Joystick;Left;Horizontal;0;Vertical;0
25680;Joystick;Right;Horizontal;0;Vertical;0
25700;Joystick;Left;Horizontal;0;Vertical;0
25700;Joystick;Right;Horizontal;0;Vertical;0
25720;Joystick;Left;Horizontal;0;Vertical;0
25720;Joystick;Right;Horizontal;0;Vertical;0
25740;Joystick;Left;Horizontal;0;Vertical;0
25740;Joystick;Right;Horizontal;0;Vertical;0
25760;Joystick;Left;Horizontal;0;Vertical;0
25760;Joystick;Right;Horizontal;0;Vertical;0
25780;Joystick;Left;Horizontal;0;Vertical;0
25780;Joystick;Right;Horizontal;0;Vertical;0
25800;Joystick;Left;Horizontal;0;Vertical;0
25800;Joystick;Right;Horizontal;0;Vertical;0
25820;Joystick;Left;Horizontal;0;Vertical;0
25820;Joystick;Right;Horizontal;0;Vertical;0
25840;Joystick;Left;Horizontal;0;Vertical;0
25840;Joystick;Right;Horizontal;0;Vertical;0
25860;Joystick;Left;Horizontal;0;Vertical;0
25860;Joystick;Right;Horizontal;0;Vertical;0
25880;Joystick;Left;Horizontal;0;Vertical;0
25880;Joystick;Right;Horizontal;0;Vertical;0
25900;Joystick;Left;Horizontal;0;Vertical;0
25900;Joystick;Right;Horizontal;0;Vertical;0
25920;Joystick;Left;Horizontal;0;Vertical;0
25920;Joystick;Right;Horizontal;0;Vertical;0
25940;Joystick;Left;Horizontal;0;Vertical;0
25940;Joystick;Right;Horizontal;0;Vertical;0
25960;Joystick;Left;Horizontal;0;Vertical;0
25960;Joystick;Right;Horizontal;0;Vertical;0
25980;Joystick;Left;Horizontal;0;Vertical;0
25980;Joystick;Right;Horizontal;0;Vertical;0
26000;Joystick;Left;Horizontal;0;Vertical;0
26000;Joystick;Right;Horizontal;0;Vertical;0
26020;Joystick;Left;Horizontal;0;Vertical;0
26020;Joystick;Right;Horizontal;0;Vertical;0
26040;Joystick;Left;Horizontal;0;Vertical;0
26040;Joystick;Right;Horizontal;0;Vertical;0
26060;Joystick;Left;Horizontal;0;Vertical;0
26060;Joystick;Right;Horizontal;0;Vertical;0
26080;Joystick;Left;Horizontal;0;Vertical;0
26080;Joystick;Right;Horizontal;0;Vertical;0
26100;Joystick;Left;Horizontal;0;Vertical;0
26100;Joystick;Right;Horizontal;0;Vertical;0
26120;Joystick;Left;Horizontal;0;Vertical;0
26120;Joystick;Right;Horizontal;0;Vertical;0
26140;Joystick;Left;Horizontal;0;Vertical;0
26140;Joystick;Right;Horizontal;0;Vertical;0
26160;Joystick;Left;Horizontal;0;Vertical;0
26160;Joystick;Right;Horizontal;0;Vertical;0
26180;Joystick;Left;Horizontal;0;Vertical;0
26180;Joystick;Right;Horizontal;0;Vertical;0
26200;Joystick;Left;Horizontal;0;Vertical;0
26200;Joystick;Right;Horizontal;0;Vertical;0
26220;Joystick;Left;Horizontal;0;Vertical;0
26220;Joystick;Right;Horizontal;0;Vertical;0
26240;Joystick;Left;Horizontal;0;Vertical;0
26240;Joystick;Right;Horizontal;0;Vertical;0
26260;Joystick;Left;Horizontal;0;Vertical;0
26260;Joystick;Right;Horizontal;0;Vertical;0
26280;Joystick;Left;Horizontal;0;Vertical;0
26280;Joystick;Right;Horizontal;0;Vertical;0
26300;Joystick;Left;Horizontal;0;Vertical;0
26300;Joystick;Right;Horizontal;0;Vertical;0
26320;Joystick;Left;Horizontal;0;Vertical;0
26320;Joystick;Right;Horizontal;0;Vertical;0
26340;Joystick;Left;Horizontal;0;Vertical;0
